Sl No,Value Date,Description,Ref / Cheque No,Debit (INR),Credit (INR),Balance (INR)
21,23-Apr-2025,RTGS/882632/Global Traders RCVD,8826320735,"469,922",,"689,105"
22,24-Apr-2025,CHQ DEPOSIT/921473,CHQ-490027,,"262,361","951,466"
23,26-Apr-2025,IMPS/499661/Kumar & Sons RCVD,4996619563,,"213,121","1,164,587"
24,28-Apr-2025,CHQ RETURN/548327/New India Corp,CHQ-467561,"88,997",,"1,075,590"
25,30-Apr-2025,RTGS/876210/Sunrise Enterprises RCVD,8762102480,"360,581",,"715,009"
26,01-May-2025,IMPS-CR-607714,6077141950,,"71,003","786,012"
27,03-May-2025,TDS ON INTEREST 194A,3748849418,"3,876",,"782,136"
28,05-May-2025,SMS ALERT CHARGES,2472380131,"2,805",,"779,331"
29,06-May-2025,NEFT-837908/ Anand Electricals RCVD,8379085492,,"271,419","1,050,750"
30,08-May-2025,IMPS/240364/Singh Logistics RCVD,2403641416,"46,554",,"1,004,196"
31,09-May-2025,CLG/234382/Mehta Trading Co,CHQ-485426,"115,990",,"888,206"
32,09-May-2025,NEFT/101165/ Rcvd frm Anand Electricals,1011652671,"390,007",,"498,199"
33,10-May-2025,UPI/036937/New India Corp@upi,0369370661,,"399,132","897,331"
34,10-May-2025,RTGS/435388/Raj Distributors RCVD,4353881968,,"309,877","1,207,208"
35,12-May-2025,SMS ALERT CHARGES,8532924756,"1,073",,"1,206,135"
36,12-May-2025,RTGS/225855/Laxmi Exports RCVD,2258551245,"226,846",,"979,289"
37,13-May-2025,IMPS/635454/Patel Industries RCVD,6354547372,,"161,196","1,140,485"
38,15-May-2025,CLG/247952/Anand Electricals,CHQ-438290,"27,530",,"1,112,955"
39,17-May-2025,CHQ DEPOSIT/848544,CHQ-419887,,"290,625","1,403,580"
40,17-May-2025,ECS CR/917672/Sunrise Enterprises,9176725448,,"306,767","1,710,347"
41,17-May-2025,IMPS/611004/Global Traders RCVD,6110045227,,"462,336","2,172,683"
42,19-May-2025,IMPS-CR-121210,1212107589,,"351,368","2,524,051"
43,21-May-2025,TDS ON INTEREST 194A,4587602685,"2,966",,"2,521,085"
44,21-May-2025,CHEQUE BOOK CHARGES,6915640336,"2,578",,"2,518,507"
45,23-May-2025,INTEREST CREDIT,7002178808,,"5,170","2,523,677"
46,24-May-2025,SMS ALERT CHARGES,0212840677,647,,"2,523,030"
47,24-May-2025,CHEQUE BOOK CHARGES,6192744441,"4,421",,"2,518,609"
48,24-May-2025,ECS-NACH/749582,7495822594,,"169,558","2,688,167"
49,26-May-2025,CHEQUE BOOK CHARGES,3165270778,"4,908",,"2,683,259"
50,27-May-2025,NEFT-558845/ Bharat Stationery RCVD,5588454746,,"172,588","2,855,847"
51,29-May-2025,UPI/365968/National Agencies@upi,3659684562,"374,649",,"2,481,198"
52,29-May-2025,UPI-CR-120303/Singh Logistics,1203034246,"311,757",,"2,169,441"
53,31-May-2025,CLG/422089/Anand Electricals,CHQ-439599,,"346,705","2,516,146"
54,31-May-2025,INT CREDIT ON SAVING A/C,4255929625,,"7,330","2,523,476"
55,02-Jun-2025,CHEQUE BOOK CHARGES,9276366676,"3,302",,"2,520,174"
56,03-Jun-2025,SMS ALERT CHARGES,5702711595,"4,587",,"2,515,587"
57,04-Jun-2025,ECS-NACH/884072,8840726638,,"11,890","2,527,477"
58,05-Jun-2025,RTGS/723636/Tech Solutions Pvt Ltd RCVD,7236364693,"455,147",,"2,072,330"
59,06-Jun-2025,UPI/009125/Bharat Stationery@upi,0091253396,,"443,280","2,515,610"
60,07-Jun-2025,INT CREDIT ON SAVING A/C,0349806593,,"7,618","2,523,228"
61,09-Jun-2025,UPI/269039/Tech Solutions Pvt Ltd@upi,2690397285,"167,637",,"2,355,591"
62,11-Jun-2025,NEFT/811216/ Rcvd frm Global Traders,8112160072,"67,745",,"2,287,846"
63,11-Jun-2025,UPI-CR-435426/Singh Logistics,4354267963,"424,413",,"1,863,433"
64,11-Jun-2025,CHEQUE BOOK CHARGES,9006026539,"2,265",,"1,861,168"
65,13-Jun-2025,UPI-CR-685848/National Agencies,6858484837,"190,279",,"1,670,889"
66,14-Jun-2025,UPI-CR-800785/Sunrise Enterprises,8007855531,,"434,706","2,105,595"
67,16-Jun-2025,ECS CR/151483/Kumar & Sons,1514835122,,"306,452","2,412,047"
68,18-Jun-2025,ECS CR/173308/Mehta Trading Co,1733085416,,"191,216","2,603,263"
69,18-Jun-2025,RTGS/775001/Global Traders RCVD,7750016626,,"111,707","2,714,970"
70,19-Jun-2025,INTEREST CREDIT,2646035032,,"1,400","2,716,370"
71,20-Jun-2025,INTEREST CREDIT,1525633744,,"4,800","2,721,170"
72,23-Jun-2025,INTEREST CREDIT,1038689082,,"7,029","2,728,199"
73,25-Jun-2025,RTGS/315159/Anand Electricals RCVD,3151593788,"90,882",,"2,637,317"
74,27-Jun-2025,UPI-CR-964556/Bharat Stationery,9645568693,"38,802",,"2,598,515"
75,28-Jun-2025,ECS CR/053408/New India Corp,0534080886,,"227,618","2,826,133"
76,30-Jun-2025,IMPS/659488/Kumar & Sons RCVD,6594889060,,"185,129","3,011,262"
77,30-Jun-2025,INTEREST CREDIT,3576006276,,"1,111","3,012,373"
78,30-Jun-2025,CHQ RETURN/396359/Gupta Brothers,CHQ-412249,,"498,596","3,510,969"
79,30-Jun-2025,INT CREDIT ON SAVING A/C,3312942108,,"5,464","3,516,433"
80,30-Jun-2025,CHQ RETURN/318781/New India Corp,CHQ-431348,"392,981",,"3,123,452"
81,30-Jun-2025,SMS ALERT CHARGES,8399423598,450,,"3,123,002"
82,30-Jun-2025,RTGS/975101/Raj Distributors RCVD,9751014580,"465,584",,"2,657,418"
83,30-Jun-2025,TDS DEDUCTION U/S 194A,2930986712,"3,842",,"2,653,576"
84,30-Jun-2025,CHEQUE BOOK CHARGES,0028575123,"2,394",,"2,651,182"
85,30-Jun-2025,CHEQUE BOOK CHARGES,5657203516,"2,812",,"2,648,370"
86,30-Jun-2025,TDS ON INTEREST 194A,3469207376,840,,"2,647,530"
87,30-Jun-2025,TDS DEDUCTION U/S 194A,8174668074,"4,452",,"2,643,078"
88,30-Jun-2025,ECS-NACH/384062,3840628062,,"372,937","3,016,015"
89,30-Jun-2025,RTGS/449587/Bharat Stationery RCVD,4495870685,,"156,715","3,172,730"
90,30-Jun-2025,CHQ RETURN/447964/Om Traders,CHQ-418714,,"341,308","3,514,038"
91,30-Jun-2025,SMS ALERT CHARGES,1263901434,"2,111",,"3,511,927"
92,30-Jun-2025,ECS CR/901591/Anand Electricals,9015917726,,"65,706","3,577,633"
93,30-Jun-2025,CHQ RETURN/798996/Gupta Brothers,CHQ-466683,,"320,662","3,898,295"
94,30-Jun-2025,UPI-CR-724354/Anand Electricals,7243549180,,"265,219","4,163,514"
95,30-Jun-2025,UPI/964638/Bharat Stationery@upi,9646387619,,"416,538","4,580,052"
96,30-Jun-2025,CHQ RETURN/373988/Bharat Stationery,CHQ-476106,,"322,289","4,902,341"
97,30-Jun-2025,CHQ RETURN/693908/Tech Solutions Pvt Ltd,CHQ-482203,,"321,301","5,223,642"
98,30-Jun-2025,ECS-NACH/948620,9486200442,,"368,429","5,592,071"
99,30-Jun-2025,CHQ DEPOSIT/353422,CHQ-494519,,"407,672","5,999,743"
100,30-Jun-2025,IMPS-CR-194840,1948403425,"146,445",,"5,853,298"
101,30-Jun-2025,INT CREDIT ON SAVING A/C,8773451505,,"1,465","5,854,763"
102,30-Jun-2025,INT CREDIT ON SAVING A/C,7397155013,,"2,960","5,857,723"
103,30-Jun-2025,RTGS/368555/Bharat Stationery RCVD,3685554540,,"293,933","6,151,656"
104,30-Jun-2025,NEFT/497757/ Rcvd frm New India Corp,4977575166,,"20,627","6,172,283"
105,30-Jun-2025,IMPS-CR-444256,4442564877,"265,111",,"5,907,172"
106,30-Jun-2025,SMS ALERT CHARGES,5568682492,"3,902",,"5,903,270"
107,30-Jun-2025,IMPS/733972/Om Traders RCVD,7339721639,"148,774",,"5,754,496"
108,30-Jun-2025,UPI/967282/Kumar & Sons@upi,9672825217,"320,783",,"5,433,713"
109,30-Jun-2025,RTGS/461991/Om Traders RCVD,4619916846,,"324,719","5,758,432"
110,30-Jun-2025,IMPS-CR-780948,7809489087,"438,988",,"5,319,444"
111,30-Jun-2025,UPI-CR-929549/Gupta Brothers,9295498411,"360,706",,"4,958,738"
112,30-Jun-2025,ECS CR/616644/New India Corp,6166443409,"134,089",,"4,824,649"
113,30-Jun-2025,RTGS/552326/Global Traders RCVD,5523264169,,"321,162","5,145,811"
114,30-Jun-2025,IMPS/944937/Anand Electricals RCVD,9449379788,,"265,126","5,410,937"
115,30-Jun-2025,UPI-CR-505551/Gupta Brothers,5055513512,,"405,303","5,816,240"
116,30-Jun-2025,INT CREDIT ON SAVING A/C,5563020204,,"7,509","5,823,749"
117,30-Jun-2025,CHEQUE BOOK CHARGES,2116793849,"4,398",,"5,819,351"
118,30-Jun-2025,RTGS/155720/Sunrise Enterprises RCVD,1557200265,"233,010",,"5,586,341"
119,30-Jun-2025,UPI-CR-847802/Mehta Trading Co,8478021057,,"222,287","5,808,628"
120,30-Jun-2025,CLG/929557/Raj Distributors,CHQ-496365,,"35,174","5,843,802"
