Invoice No,Invoice Date,Customer Name,Customer GSTIN,Salesperson,Region,Product Category,Product Name,Quantity,Unit Price (INR),Discount (%),Net Amount (INR),GST Rate (%),GST Amount (INR),Total Invoice Value (INR)
INV/25-26/1117,24-May-2025,Singh Logistics,27AABCS1234M1Z6,Vikram Sinha,West,Safety Equipment,Safety Helmet,11,"4,211",0,"46,321",18,"8,338","54,659"
INV/25-26/1118,04-May-2025,Sharma Enterprises,33AABCS5678U1Z2,Amit Patel,East,Printing,A3 Photo Paper,44,"4,503",0,"198,132",12,"23,776","221,908"
INV/25-26/1119,12-May-2025,Singh Logistics,27AABCS1234M1Z6,Rajesh Gupta,West,Safety Equipment,Safety Helmet,17,"2,949",15,"42,613",5,"2,131","44,744"
INV/25-26/1120,16-May-2025,Sunrise Enterprises,29AACCS5678G1Z3,Neha Mehta,Central,Networking,RJ45 Patch Cable,31,"4,453",0,"138,043",28,"38,652","176,695"
INV/25-26/1121,17-May-2025,New India Corp,07AABCN9012O1Z0,Suresh Agarwal,North,Furniture,Study Table,13,"1,746",15,"19,293",12,"2,315","21,608"
INV/25-26/1122,11-May-2025,Kumar & Sons,09AABCK2345K1Z2,Priya Sharma,West,Safety Equipment,First Aid Kit,21,"3,191",0,"67,011",28,"18,763","85,774"
INV/25-26/1123,09-May-2025,Patel Industries,24AABCP6789L1Z4,Amit Patel,Central,Furniture,Bookshelf,49,"3,910",0,"191,590",28,"53,645","245,235"
INV/25-26/1124,21-May-2025,National Agencies,24AABCN6789S1Z8,Suresh Agarwal,West,Cleaning Supplies,Dustbin Set,1,237,2,232,18,42,274
INV/25-26/1125,01-May-2025,Tech Solutions Pvt Ltd,29AABCT3456P1Z2,Vikram Sinha,South,Office Supplies,A4 Paper Ream,41,"3,681",2,"147,903",18,"26,623","174,526"
INV/25-26/1126,10-May-2025,Global Traders,36AABCG7890J1Z9,Priya Sharma,West,Printing,Binding Covers,11,373,0,"4,103",18,739,"4,842"
INV/25-26/1127,10-May-2025,Gupta Brothers,27AABCG1234T1Z0,Vikram Sinha,Central,Printing,Binding Covers,28,"4,445",0,"124,460",18,"22,403","146,863"
INV/25-26/1128,29-May-2025,Sharma Enterprises,33AABCS5678U1Z2,Meena Verma,South,Furniture,Bookshelf,2,"1,181",0,"2,362",12,283,"2,645"
INV/25-26/1129,24-May-2025,Mehta Trading Co,27AABCM1234F1Z5,Neha Mehta,Central,Furniture,Office Chair,24,"3,570",0,"85,680",28,"23,990","109,670"
INV/25-26/1130,29-May-2025,Raj Distributors,33AABCR5678N1Z8,Vikram Sinha,Central,Office Supplies,Pen Set,4,"3,327",0,"13,308",5,665,"13,973"
INV/25-26/1131,23-May-2025,Anand Electricals,33AABCA3456I1Z7,Suresh Agarwal,West,Packaging,Bubble Wrap Roll,36,"1,301",0,"46,836",12,"5,620","52,456"
INV/25-26/1132,23-May-2025,Mehta Trading Co,27AABCM1234F1Z5,Rajesh Gupta,West,IT Equipment,Pen Drive 64GB,34,"1,386",0,"47,124",28,"13,195","60,319"
INV/25-26/1133,27-May-2025,Anand Electricals,33AABCA3456I1Z7,Vikram Sinha,Central,IT Equipment,HDMI Cable,8,"3,935",15,"26,758",12,"3,211","29,969"
INV/25-26/1134,20-May-2025,Patel Industries,24AABCP6789L1Z4,Rajesh Gupta,Central,Stationery,Highlighter Set,46,"2,078",0,"95,588",5,"4,779","100,367"
INV/25-26/1135,18-May-2025,Sharma Enterprises,33AABCS5678U1Z2,Sunita Singh,West,Safety Equipment,First Aid Kit,1,113,0,113,5,6,119
INV/25-26/1136,27-May-2025,Jain Brothers,24AABCJ7890X1Z8,Pooja Jain,South,IT Equipment,Webcam,5,"3,632",0,"18,160",18,"3,269","21,429"
INV/25-26/1137,21-May-2025,Singh Logistics,27AABCS1234M1Z6,Pooja Jain,East,Electrical,Surge Protector,4,544,0,"2,176",5,109,"2,285"
INV/25-26/1138,28-May-2025,New India Corp,07AABCN9012O1Z0,Meena Verma,East,Packaging,Bubble Wrap Roll,7,"4,264",0,"29,848",5,"1,492","31,340"
INV/25-26/1139,28-May-2025,Global Traders,36AABCG7890J1Z9,Amit Patel,East,Safety Equipment,Hand Sanitizer,40,"1,378",0,"55,120",18,"9,922","65,042"
INV/25-26/1140,27-May-2025,Tech Solutions Pvt Ltd,29AABCT3456P1Z2,Amit Patel,North,Packaging,Packing Tape,30,"1,396",10,"37,692",28,"10,554","48,246"
INV/25-26/1141,26-May-2025,National Agencies,24AABCN6789S1Z8,Amit Patel,North,Furniture,Office Chair,11,563,15,"5,264",28,"1,474","6,738"
INV/25-26/1142,06-May-2025,Sinha Industries,07AABCS2345Y1Z0,Suresh Agarwal,East,Networking,RJ45 Patch Cable,44,"4,406",0,"193,864",28,"54,282","248,146"
INV/25-26/1143,30-May-2025,Sharma Enterprises,33AABCS5678U1Z2,Priya Sharma,West,Cleaning Supplies,Floor Cleaner,5,"1,345",5,"6,389",5,319,"6,708"
INV/25-26/1144,23-May-2025,Verma & Co,09AABCV9012V1Z4,Neha Mehta,Central,Stationery,Highlighter Set,34,"2,639",0,"89,726",28,"25,123","114,849"
INV/25-26/1145,22-May-2025,Singh Logistics,27AABCS1234M1Z6,Pooja Jain,East,Packaging,Corrugated Box,36,"4,466",0,"160,776",5,"8,039","168,815"
INV/25-26/1146,21-May-2025,Kumar & Sons,09AABCK2345K1Z2,Vikram Sinha,West,Cleaning Supplies,Mop Set,5,"3,770",5,"17,908",12,"2,149","20,057"
INV/25-26/1147,11-May-2025,Raj Distributors,33AABCR5678N1Z8,Ravi Kumar,Central,Stationery,Index Cards,42,"1,924",2,"79,192",5,"3,960","83,152"
INV/25-26/1148,15-May-2025,Gupta Brothers,27AABCG1234T1Z0,Neha Mehta,West,IT Equipment,Keyboard,29,"1,615",15,"39,810",5,"1,990","41,800"
INV/25-26/1149,04-May-2025,Laxmi Exports,19AABCL2345R1Z6,Suresh Agarwal,North,Printing,Printer Cartridge,6,"3,969",5,"22,623",12,"2,715","25,338"
INV/25-26/1150,21-May-2025,Gupta Brothers,27AABCG1234T1Z0,Meena Verma,East,Office Supplies,Stapler Set,30,"1,693",15,"43,172",18,"7,771","50,943"
INV/25-26/1151,23-May-2025,Gupta Brothers,27AABCG1234T1Z0,Priya Sharma,North,Stationery,Spiral Notebook,22,"1,808",5,"37,787",18,"6,802","44,589"
INV/25-26/1152,23-May-2025,Anand Electricals,33AABCA3456I1Z7,Ravi Kumar,South,Cleaning Supplies,Mop Set,46,"3,725",10,"154,215",5,"7,711","161,926"
INV/25-26/1153,09-May-2025,Sinha Industries,07AABCS2345Y1Z0,Sunita Singh,South,IT Equipment,Keyboard,14,"2,312",2,"31,721",18,"5,710","37,431"
INV/25-26/1154,04-May-2025,National Agencies,24AABCN6789S1Z8,Ravi Kumar,Central,IT Equipment,Keyboard,30,"3,309",0,"99,270",28,"27,796","127,066"
INV/25-26/1155,01-May-2025,Verma & Co,09AABCV9012V1Z4,Ravi Kumar,Central,Packaging,Packing Tape,33,"3,916",0,"129,228",12,"15,507","144,735"
INV/25-26/1156,24-May-2025,Global Traders,36AABCG7890J1Z9,Priya Sharma,West,Networking,WiFi Extender,33,"4,413",10,"131,066",12,"15,728","146,794"
INV/25-26/1157,09-May-2025,Laxmi Exports,19AABCL2345R1Z6,Meena Verma,East,Cleaning Supplies,Mop Set,9,"2,093",5,"17,895",18,"3,221","21,116"
INV/25-26/1158,23-May-2025,Agarwal Traders,19AABCA3456W1Z6,Sunita Singh,South,Stationery,Index Cards,46,"1,488",5,"65,026",12,"7,803","72,829"
INV/25-26/1159,23-May-2025,Kumar & Sons,09AABCK2345K1Z2,Vikram Sinha,Central,Safety Equipment,Fire Extinguisher,49,"1,794",15,"74,720",28,"20,922","95,642"
INV/25-26/1160,22-May-2025,Agarwal Traders,19AABCA3456W1Z6,Rajesh Gupta,West,Office Supplies,Pen Set,7,175,0,"1,225",5,61,"1,286"
INV/25-26/1161,22-May-2025,Sunrise Enterprises,29AACCS5678G1Z3,Sunita Singh,East,Furniture,Filing Cabinet,44,"1,290",0,"56,760",18,"10,217","66,977"
INV/25-26/1162,07-May-2025,Agarwal Traders,19AABCA3456W1Z6,Ravi Kumar,East,Cleaning Supplies,Floor Cleaner,40,"4,347",2,"170,402",28,"47,713","218,115"
INV/25-26/1163,08-May-2025,Verma & Co,09AABCV9012V1Z4,Rajesh Gupta,North,Packaging,Packing Tape,27,"4,786",5,"122,761",5,"6,138","128,899"
INV/25-26/1164,01-May-2025,Raj Distributors,33AABCR5678N1Z8,Sunita Singh,Central,Cleaning Supplies,Mop Set,41,"3,538",5,"137,805",12,"16,537","154,342"
INV/25-26/1165,25-May-2025,Patel Industries,24AABCP6789L1Z4,Rajesh Gupta,West,Furniture,Office Chair,12,"4,814",0,"57,768",28,"16,175","73,943"
INV/25-26/1166,02-May-2025,National Agencies,24AABCN6789S1Z8,Rajesh Gupta,Central,Electrical,Extension Cord,11,"2,941",5,"30,733",5,"1,537","32,270"
INV/25-26/1167,11-May-2025,Gupta Brothers,27AABCG1234T1Z0,Amit Patel,North,Furniture,Filing Cabinet,39,302,5,"11,189",28,"3,133","14,322"
INV/25-26/1168,26-May-2025,Jain Brothers,24AABCJ7890X1Z8,Vikram Sinha,East,IT Equipment,Pen Drive 64GB,21,"2,651",0,"55,671",5,"2,784","58,455"
INV/25-26/1169,26-May-2025,Verma & Co,09AABCV9012V1Z4,Amit Patel,West,Printing,Lamination Pouch,6,"1,780",2,"10,466",18,"1,884","12,350"
INV/25-26/1170,11-May-2025,Om Traders,36AABCO7890Q1Z4,Rajesh Gupta,South,Networking,Cat6 Cable Roll,36,"4,127",0,"148,572",5,"7,429","156,001"
INV/25-26/1171,22-May-2025,Om Traders,36AABCO7890Q1Z4,Pooja Jain,South,Networking,Network Switch 8P,3,"3,429",5,"9,773",28,"2,736","12,509"
INV/25-26/1172,30-May-2025,Anand Electricals,33AABCA3456I1Z7,Suresh Agarwal,East,Printing,Binding Covers,2,"4,561",5,"8,666",28,"2,426","11,092"
INV/25-26/1173,16-May-2025,Sunrise Enterprises,29AACCS5678G1Z3,Rajesh Gupta,South,Safety Equipment,Fire Extinguisher,7,879,0,"6,153",5,308,"6,461"
INV/25-26/1174,07-May-2025,Patel Industries,24AABCP6789L1Z4,Suresh Agarwal,North,Stationery,Index Cards,45,"4,399",10,"178,159",5,"8,908","187,067"
INV/25-26/1175,24-May-2025,Global Traders,36AABCG7890J1Z9,Ravi Kumar,West,Safety Equipment,Fire Extinguisher,6,413,0,"2,478",18,446,"2,924"
INV/25-26/1176,18-May-2025,Bharat Stationery House,07AABCB9012H1Z1,Neha Mehta,South,Electrical,Surge Protector,25,"2,283",10,"51,367",28,"14,383","65,750"
INV/25-26/1177,11-May-2025,Mehta Trading Co,27AABCM1234F1Z5,Suresh Agarwal,North,Printing,Printer Cartridge,42,"3,615",0,"151,830",5,"7,592","159,422"
INV/25-26/1178,23-May-2025,Bharat Stationery House,07AABCB9012H1Z1,Meena Verma,Central,IT Equipment,HDMI Cable,44,"1,542",0,"67,848",18,"12,213","80,061"
INV/25-26/1179,25-May-2025,Gupta Brothers,27AABCG1234T1Z0,Suresh Agarwal,West,Office Supplies,Desk Organizer,11,"2,691",0,"29,601",28,"8,288","37,889"
INV/25-26/1180,26-May-2025,Agarwal Traders,19AABCA3456W1Z6,Rajesh Gupta,South,Electrical,UPS 600VA,1,"2,790",0,"2,790",5,140,"2,930"
INV/25-26/1181,02-May-2025,Mehta Trading Co,27AABCM1234F1Z5,Neha Mehta,Central,Packaging,Bubble Wrap Roll,20,"1,090",5,"20,710",12,"2,485","23,195"
INV/25-26/1182,14-May-2025,Verma & Co,09AABCV9012V1Z4,Amit Patel,South,Furniture,Study Table,40,"4,182",2,"163,934",5,"8,197","172,131"
INV/25-26/1183,06-May-2025,Jain Brothers,24AABCJ7890X1Z8,Ravi Kumar,Central,Cleaning Supplies,Floor Cleaner,19,"3,375",5,"60,919",5,"3,046","63,965"
INV/25-26/1184,07-May-2025,Jain Brothers,24AABCJ7890X1Z8,Pooja Jain,East,Safety Equipment,First Aid Kit,43,"3,295",0,"141,685",18,"25,503","167,188"
INV/25-26/1185,20-May-2025,Bharat Stationery House,07AABCB9012H1Z1,Sunita Singh,East,Cleaning Supplies,Dustbin Set,22,"3,101",5,"64,811",12,"7,777","72,588"
INV/25-26/1186,19-May-2025,Jain Brothers,24AABCJ7890X1Z8,Meena Verma,East,Packaging,Corrugated Box,1,"1,600",2,"1,568",28,439,"2,007"
INV/25-26/1187,09-May-2025,Om Traders,36AABCO7890Q1Z4,Amit Patel,East,Cleaning Supplies,Dustbin Set,29,"1,826",5,"50,306",28,"14,086","64,392"
INV/25-26/1188,18-May-2025,Anand Electricals,33AABCA3456I1Z7,Amit Patel,Central,IT Equipment,HDMI Cable,9,"4,462",2,"39,355",18,"7,084","46,439"
INV/25-26/1189,24-May-2025,Bharat Stationery House,07AABCB9012H1Z1,Priya Sharma,North,Printing,Printer Cartridge,38,"2,916",2,"108,592",5,"5,430","114,022"
INV/25-26/1190,18-May-2025,Raj Distributors,33AABCR5678N1Z8,Vikram Sinha,Central,Cleaning Supplies,Mop Set,24,"1,993",5,"45,440",12,"5,453","50,893"
INV/25-26/1191,15-May-2025,Verma & Co,09AABCV9012V1Z4,Vikram Sinha,North,Packaging,Stretch Film,33,102,2,"3,299",12,396,"3,695"
INV/25-26/1192,25-May-2025,Verma & Co,09AABCV9012V1Z4,Amit Patel,West,Furniture,Study Table,37,"4,746",0,"175,602",28,"49,169","224,771"
INV/25-26/1193,12-May-2025,Sunrise Enterprises,29AACCS5678G1Z3,Sunita Singh,West,Stationery,Spiral Notebook,17,"1,879",0,"31,943",12,"3,833","35,776"
INV/25-26/1194,17-May-2025,Om Traders,36AABCO7890Q1Z4,Suresh Agarwal,West,Cleaning Supplies,Floor Cleaner,3,"4,904",5,"13,976",5,699,"14,675"
INV/25-26/1195,23-May-2025,Verma & Co,09AABCV9012V1Z4,Rajesh Gupta,East,Networking,Network Switch 8P,25,"3,286",5,"78,042",5,"3,902","81,944"
INV/25-26/1196,17-May-2025,Raj Distributors,33AABCR5678N1Z8,Suresh Agarwal,South,Printing,Lamination Pouch,23,"4,095",5,"89,476",28,"25,053","114,529"
INV/25-26/1197,26-May-2025,Sharma Enterprises,33AABCS5678U1Z2,Neha Mehta,North,Printing,A3 Photo Paper,29,870,0,"25,230",18,"4,541","29,771"
INV/25-26/1198,07-May-2025,Global Traders,36AABCG7890J1Z9,Amit Patel,South,Safety Equipment,Fire Extinguisher,43,"1,190",5,"48,612",5,"2,431","51,043"
INV/25-26/1199,16-May-2025,Sharma Enterprises,33AABCS5678U1Z2,Pooja Jain,South,Networking,Network Switch 8P,42,"4,175",0,"175,350",12,"21,042","196,392"
INV/25-26/1200,02-May-2025,Global Traders,36AABCG7890J1Z9,Neha Mehta,Central,Furniture,Study Table,41,"2,588",0,"106,108",5,"5,305","111,413"
