Invoice No,Invoice Date,Customer Name,Customer GSTIN,Salesperson,Region,Product Category,Product Name,Quantity,Unit Price (INR),Discount (%),Net Amount (INR),GST Rate (%),GST Amount (INR),Total Invoice Value (INR)
INV/25-26/1015,14-Apr-2025,Sinha Industries,07AABCS2345Y1Z0,Amit Patel,Central,Packaging,Packing Tape,12,"2,459",0,"29,508",12,"3,541","33,049"
INV/25-26/1016,16-Apr-2025,New India Corp,07AABCN9012O1Z0,Amit Patel,South,Safety Equipment,Hand Sanitizer,40,315,5,"11,970",5,598,"12,568"
INV/25-26/1017,16-Apr-2025,Global Traders,36AABCG7890J1Z9,Sunita Singh,West,Printing,Lamination Pouch,27,"3,439",10,"83,568",28,"23,399","106,967"
INV/25-26/1018,16-Apr-2025,Kumar & Sons,09AABCK2345K1Z2,Priya Sharma,Central,Office Supplies,Stapler Set,19,212,2,"3,947",18,710,"4,657"
INV/25-26/1019,06-Apr-2025,Gupta Brothers,27AABCG1234T1Z0,Neha Mehta,West,Printing,Printer Cartridge,37,615,5,"21,617",5,"1,081","22,698"
INV/25-26/1020,25-Apr-2025,Gupta Brothers,27AABCG1234T1Z0,Vikram Sinha,South,Packaging,Bubble Wrap Roll,48,"4,159",2,"195,639",18,"35,215","230,854"
INV/25-26/1021,28-Apr-2025,Sunrise Enterprises,29AACCS5678G1Z3,Pooja Jain,East,Safety Equipment,Fire Extinguisher,29,"4,333",0,"125,657",12,"15,079","140,736"
INV/25-26/1022,07-Apr-2025,Jain Brothers,24AABCJ7890X1Z8,Meena Verma,Central,Packaging,Corrugated Box,40,739,2,"28,969",12,"3,476","32,445"
INV/25-26/1023,26-Apr-2025,Sunrise Enterprises,29AACCS5678G1Z3,Neha Mehta,East,Printing,Binding Covers,39,"2,717",5,"100,665",18,"18,120","118,785"
INV/25-26/1024,10-Apr-2025,Jain Brothers,24AABCJ7890X1Z8,Rajesh Gupta,Central,IT Equipment,USB Hub,49,"3,939",0,"193,011",18,"34,742","227,753"
INV/25-26/1025,28-Apr-2025,Global Traders,36AABCG7890J1Z9,Amit Patel,South,Furniture,Filing Cabinet,16,"3,819",10,"54,994",28,"15,398","70,392"
INV/25-26/1026,05-Apr-2025,Jain Brothers,24AABCJ7890X1Z8,Rajesh Gupta,West,Packaging,Packing Tape,5,"3,186",0,"15,930",28,"4,460","20,390"
INV/25-26/1027,17-Apr-2025,Raj Distributors,33AABCR5678N1Z8,Meena Verma,West,Cleaning Supplies,Disinfectant Spray,38,62,0,"2,356",28,660,"3,016"
INV/25-26/1028,21-Apr-2025,Om Traders,36AABCO7890Q1Z4,Priya Sharma,Central,Packaging,Corrugated Box,28,"4,133",15,"98,365",18,"17,706","116,071"
INV/25-26/1029,11-Apr-2025,New India Corp,07AABCN9012O1Z0,Meena Verma,Central,Networking,Network Switch 8P,37,"4,269",5,"150,055",5,"7,503","157,558"
INV/25-26/1030,02-Apr-2025,Anand Electricals,33AABCA3456I1Z7,Pooja Jain,North,IT Equipment,USB Hub,29,"2,310",10,"60,291",12,"7,235","67,526"
INV/25-26/1031,23-Apr-2025,Global Traders,36AABCG7890J1Z9,Rajesh Gupta,South,Electrical,LED Bulb Pack,42,"1,834",0,"77,028",18,"13,865","90,893"
INV/25-26/1032,22-Apr-2025,Kumar & Sons,09AABCK2345K1Z2,Ravi Kumar,West,Electrical,Extension Cord,28,"3,295",0,"92,260",5,"4,613","96,873"
INV/25-26/1033,07-Apr-2025,Sharma Enterprises,33AABCS5678U1Z2,Priya Sharma,South,Networking,Network Switch 8P,34,"3,416",0,"116,144",5,"5,807","121,951"
INV/25-26/1034,23-Apr-2025,Tech Solutions Pvt Ltd,29AABCT3456P1Z2,Priya Sharma,West,Furniture,Bookshelf,5,"1,183",0,"5,915",5,296,"6,211"
INV/25-26/1035,04-Apr-2025,Tech Solutions Pvt Ltd,29AABCT3456P1Z2,Meena Verma,East,Furniture,Bookshelf,50,"4,076",0,"203,800",12,"24,456","228,256"
INV/25-26/1036,03-Apr-2025,Verma & Co,09AABCV9012V1Z4,Neha Mehta,North,Networking,Network Switch 8P,29,"1,788",2,"50,815",12,"6,098","56,913"
INV/25-26/1037,30-Apr-2025,National Agencies,24AABCN6789S1Z8,Neha Mehta,West,Stationery,Spiral Notebook,7,743,0,"5,201",28,"1,456","6,657"
INV/25-26/1038,12-Apr-2025,National Agencies,24AABCN6789S1Z8,Meena Verma,South,Stationery,Highlighter Set,42,467,5,"18,633",5,932,"19,565"
INV/25-26/1039,28-Apr-2025,New India Corp,07AABCN9012O1Z0,Sunita Singh,Central,Networking,Network Switch 8P,48,"1,989",0,"95,472",12,"11,457","106,929"
INV/25-26/1040,16-Apr-2025,Laxmi Exports,19AABCL2345R1Z6,Priya Sharma,South,Cleaning Supplies,Floor Cleaner,34,"4,449",0,"151,266",18,"27,228","178,494"
INV/25-26/1041,30-Apr-2025,Tech Solutions Pvt Ltd,29AABCT3456P1Z2,Amit Patel,West,Networking,Cat6 Cable Roll,24,"2,754",0,"66,096",28,"18,507","84,603"
INV/25-26/1042,25-Apr-2025,Bharat Stationery House,07AABCB9012H1Z1,Ravi Kumar,Central,IT Equipment,Wireless Mouse,17,"1,118",0,"19,006",28,"5,322","24,328"
INV/25-26/1043,17-Apr-2025,New India Corp,07AABCN9012O1Z0,Vikram Sinha,West,Packaging,Packing Tape,6,"3,221",0,"19,326",18,"3,479","22,805"
INV/25-26/1044,03-Apr-2025,New India Corp,07AABCN9012O1Z0,Priya Sharma,Central,Stationery,Gel Pen Box,35,"1,667",0,"58,345",18,"10,502","68,847"
INV/25-26/1045,23-Apr-2025,National Agencies,24AABCN6789S1Z8,Sunita Singh,North,Stationery,Spiral Notebook,28,624,0,"17,472",18,"3,145","20,617"
INV/25-26/1046,22-Apr-2025,Kumar & Sons,09AABCK2345K1Z2,Priya Sharma,North,Furniture,Office Chair,11,"2,507",5,"26,198",18,"4,716","30,914"
INV/25-26/1047,06-Apr-2025,Om Traders,36AABCO7890Q1Z4,Amit Patel,East,IT Equipment,Wireless Mouse,22,"4,045",5,"84,540",5,"4,227","88,767"
INV/25-26/1048,09-Apr-2025,Jain Brothers,24AABCJ7890X1Z8,Priya Sharma,West,Cleaning Supplies,Disinfectant Spray,4,"2,523",0,"10,092",18,"1,817","11,909"
INV/25-26/1049,06-Apr-2025,Raj Distributors,33AABCR5678N1Z8,Priya Sharma,Central,IT Equipment,USB Hub,48,"2,569",0,"123,312",5,"6,166","129,478"
INV/25-26/1050,08-Apr-2025,Sunrise Enterprises,29AACCS5678G1Z3,Pooja Jain,East,Packaging,Corrugated Box,12,"4,659",0,"55,908",28,"15,654","71,562"
INV/25-26/1051,08-Apr-2025,Tech Solutions Pvt Ltd,29AABCT3456P1Z2,Sunita Singh,West,Safety Equipment,Safety Helmet,5,"2,879",0,"14,395",5,720,"15,115"
INV/25-26/1052,06-Apr-2025,Singh Logistics,27AABCS1234M1Z6,Vikram Sinha,North,Packaging,Bubble Wrap Roll,30,"4,337",5,"123,604",18,"22,249","145,853"
INV/25-26/1053,03-Apr-2025,Agarwal Traders,19AABCA3456W1Z6,Pooja Jain,North,Safety Equipment,First Aid Kit,19,"2,841",5,"51,280",12,"6,154","57,434"
INV/25-26/1054,15-Apr-2025,Om Traders,36AABCO7890Q1Z4,Neha Mehta,West,Stationery,Index Cards,49,"3,990",0,"195,510",5,"9,776","205,286"
INV/25-26/1055,30-Apr-2025,National Agencies,24AABCN6789S1Z8,Ravi Kumar,South,Printing,Binding Covers,41,"4,206",0,"172,446",18,"31,040","203,486"
INV/25-26/1056,01-Apr-2025,Laxmi Exports,19AABCL2345R1Z6,Rajesh Gupta,North,Stationery,Index Cards,16,"2,128",0,"34,048",12,"4,086","38,134"
INV/25-26/1057,23-Apr-2025,Raj Distributors,33AABCR5678N1Z8,Priya Sharma,North,Stationery,Index Cards,27,"3,519",5,"90,262",28,"25,273","115,535"
INV/25-26/1058,24-Apr-2025,Bharat Stationery House,07AABCB9012H1Z1,Neha Mehta,North,Printing,A3 Photo Paper,41,"4,109",0,"168,469",5,"8,423","176,892"
INV/25-26/1059,14-Apr-2025,Global Traders,36AABCG7890J1Z9,Sunita Singh,East,Electrical,UPS 600VA,26,"3,519",5,"86,919",18,"15,645","102,564"
INV/25-26/1060,15-Apr-2025,Raj Distributors,33AABCR5678N1Z8,Sunita Singh,North,Stationery,Gel Pen Box,50,"3,862",0,"193,100",12,"23,172","216,272"
INV/25-26/1061,04-Apr-2025,Kumar & Sons,09AABCK2345K1Z2,Pooja Jain,West,Safety Equipment,Hand Sanitizer,8,"2,703",2,"21,192",28,"5,934","27,126"
INV/25-26/1062,10-Apr-2025,Gupta Brothers,27AABCG1234T1Z0,Rajesh Gupta,North,IT Equipment,USB Hub,44,"1,556",0,"68,464",12,"8,216","76,680"
INV/25-26/1063,27-Apr-2025,Tech Solutions Pvt Ltd,29AABCT3456P1Z2,Amit Patel,North,Stationery,Highlighter Set,26,"2,592",5,"64,022",18,"11,524","75,546"
INV/25-26/1064,27-Apr-2025,Kumar & Sons,09AABCK2345K1Z2,Ravi Kumar,West,Cleaning Supplies,Mop Set,7,"2,337",0,"16,359",5,818,"17,177"
INV/25-26/1065,01-Apr-2025,Sunrise Enterprises,29AACCS5678G1Z3,Sunita Singh,South,Stationery,Sticky Notes,24,"3,447",0,"82,728",18,"14,891","97,619"
INV/25-26/1066,30-Apr-2025,Bharat Stationery House,07AABCB9012H1Z1,Ravi Kumar,North,Stationery,Sticky Notes,9,505,5,"4,318",5,216,"4,534"
INV/25-26/1067,02-Apr-2025,Gupta Brothers,27AABCG1234T1Z0,Ravi Kumar,South,Networking,Cat6 Cable Roll,47,"2,005",0,"94,235",28,"26,386","120,621"
INV/25-26/1068,22-Apr-2025,National Agencies,24AABCN6789S1Z8,Amit Patel,East,Stationery,Gel Pen Box,18,"1,435",0,"25,830",5,"1,292","27,122"
INV/25-26/1069,20-Apr-2025,Sinha Industries,07AABCS2345Y1Z0,Neha Mehta,South,Electrical,Surge Protector,27,"4,420",15,"101,439",5,"5,072","106,511"
INV/25-26/1070,03-Apr-2025,Raj Distributors,33AABCR5678N1Z8,Suresh Agarwal,South,Packaging,Corrugated Box,42,"4,429",2,"182,298",5,"9,115","191,413"
INV/25-26/1071,13-Apr-2025,Om Traders,36AABCO7890Q1Z4,Pooja Jain,Central,Cleaning Supplies,Disinfectant Spray,37,"2,537",10,"84,482",18,"15,207","99,689"
INV/25-26/1072,06-Apr-2025,Mehta Trading Co,27AABCM1234F1Z5,Meena Verma,Central,Stationery,Spiral Notebook,50,"1,441",15,"61,242",18,"11,024","72,266"
INV/25-26/1073,25-Apr-2025,Jain Brothers,24AABCJ7890X1Z8,Sunita Singh,South,IT Equipment,USB Hub,43,"1,244",0,"53,492",12,"6,419","59,911"
INV/25-26/1074,19-Apr-2025,Laxmi Exports,19AABCL2345R1Z6,Meena Verma,South,Furniture,Study Table,38,"1,624",5,"58,626",5,"2,931","61,557"
INV/25-26/1075,23-Apr-2025,Om Traders,36AABCO7890Q1Z4,Neha Mehta,Central,Furniture,Monitor Stand,13,"4,192",15,"46,322",18,"8,338","54,660"
INV/25-26/1076,06-Apr-2025,Sharma Enterprises,33AABCS5678U1Z2,Ravi Kumar,North,Office Supplies,Stapler Set,39,"1,133",15,"37,559",5,"1,878","39,437"
INV/25-26/1077,11-Apr-2025,Sinha Industries,07AABCS2345Y1Z0,Sunita Singh,South,Safety Equipment,First Aid Kit,21,345,0,"7,245",12,869,"8,114"
INV/25-26/1078,25-Apr-2025,Anand Electricals,33AABCA3456I1Z7,Vikram Sinha,East,IT Equipment,HDMI Cable,46,"4,713",10,"195,118",5,"9,756","204,874"
INV/25-26/1079,11-Apr-2025,New India Corp,07AABCN9012O1Z0,Meena Verma,South,Furniture,Bookshelf,41,"4,805",5,"187,155",12,"22,459","209,614"
INV/25-26/1080,23-Apr-2025,Agarwal Traders,19AABCA3456W1Z6,Neha Mehta,East,Stationery,Index Cards,12,"1,923",5,"21,922",12,"2,631","24,553"
INV/25-26/1081,06-Apr-2025,Mehta Trading Co,27AABCM1234F1Z5,Neha Mehta,West,Networking,RJ45 Patch Cable,12,"3,032",2,"35,656",5,"1,783","37,439"
INV/25-26/1082,30-Apr-2025,Sharma Enterprises,33AABCS5678U1Z2,Amit Patel,East,IT Equipment,USB Hub,23,"4,913",0,"112,999",5,"5,650","118,649"
INV/25-26/1083,27-Apr-2025,Tech Solutions Pvt Ltd,29AABCT3456P1Z2,Pooja Jain,North,Electrical,Extension Cord,16,"3,481",5,"52,911",18,"9,524","62,435"
INV/25-26/1084,26-Apr-2025,Anand Electricals,33AABCA3456I1Z7,Ravi Kumar,North,Packaging,Packing Tape,47,"2,127",0,"99,969",28,"27,991","127,960"
INV/25-26/1085,16-Apr-2025,Laxmi Exports,19AABCL2345R1Z6,Meena Verma,Central,Packaging,Bubble Wrap Roll,31,"3,954",2,"120,123",12,"14,415","134,538"
INV/25-26/1086,15-Apr-2025,Bharat Stationery House,07AABCB9012H1Z1,Ravi Kumar,East,Office Supplies,File Folders,17,"4,761",0,"80,937",18,"14,569","95,506"
INV/25-26/1087,06-Apr-2025,Laxmi Exports,19AABCL2345R1Z6,Amit Patel,North,Printing,Printer Cartridge,22,"2,990",15,"55,913",5,"2,796","58,709"
INV/25-26/1088,14-Apr-2025,Kumar & Sons,09AABCK2345K1Z2,Neha Mehta,West,Furniture,Office Chair,7,"1,689",2,"11,587",28,"3,244","14,831"
INV/25-26/1089,23-Apr-2025,Agarwal Traders,19AABCA3456W1Z6,Vikram Sinha,East,Electrical,UPS 600VA,16,525,10,"7,560",28,"2,117","9,677"
INV/25-26/1090,05-Apr-2025,Sunrise Enterprises,29AACCS5678G1Z3,Meena Verma,North,Packaging,Bubble Wrap Roll,19,"4,128",15,"66,667",12,"8,000","74,667"
INV/25-26/1091,04-Apr-2025,Mehta Trading Co,27AABCM1234F1Z5,Sunita Singh,South,Electrical,LED Bulb Pack,31,"4,227",5,"124,485",28,"34,856","159,341"
INV/25-26/1092,16-Apr-2025,Sharma Enterprises,33AABCS5678U1Z2,Rajesh Gupta,North,Printing,Lamination Pouch,12,"1,887",10,"20,380",18,"3,668","24,048"
INV/25-26/1093,06-Apr-2025,Gupta Brothers,27AABCG1234T1Z0,Ravi Kumar,East,Cleaning Supplies,Dustbin Set,17,"1,170",5,"18,896",5,945,"19,841"
INV/25-26/1094,05-Apr-2025,Anand Electricals,33AABCA3456I1Z7,Priya Sharma,East,Printing,Lamination Pouch,49,"2,969",0,"145,481",28,"40,735","186,216"
INV/25-26/1095,27-Apr-2025,Verma & Co,09AABCV9012V1Z4,Suresh Agarwal,Central,Cleaning Supplies,Mop Set,31,"1,529",10,"42,659",5,"2,133","44,792"
INV/25-26/1096,17-Apr-2025,Jain Brothers,24AABCJ7890X1Z8,Vikram Sinha,Central,Networking,Network Switch 8P,8,"4,749",15,"32,293",12,"3,875","36,168"
INV/25-26/1097,06-Apr-2025,Patel Industries,24AABCP6789L1Z4,Sunita Singh,South,Office Supplies,Desk Organizer,6,"4,942",10,"26,687",12,"3,202","29,889"
INV/25-26/1098,27-Apr-2025,Global Traders,36AABCG7890J1Z9,Neha Mehta,East,Safety Equipment,Fire Extinguisher,6,"1,971",10,"10,643",18,"1,916","12,559"
INV/25-26/1099,28-Apr-2025,Raj Distributors,33AABCR5678N1Z8,Vikram Sinha,West,Office Supplies,Pen Set,38,"2,637",10,"90,185",5,"4,509","94,694"
INV/25-26/1100,14-Apr-2025,Global Traders,36AABCG7890J1Z9,Amit Patel,Central,Networking,RJ45 Patch Cable,7,"2,835",0,"19,845",18,"3,572","23,417"
