Vendor Code,Vendor Name,Vendor GSTIN,PAN,Invoice Number,Invoice Date,Due Date,Invoice Amount (INR),Amount Paid (INR),Balance Outstanding (INR),Payment Terms,Aging Bucket,Overdue Days,Contact Person,Contact Email
V002,Sunrise Enterprises,29AACCS5678G1Z3,AACCS5678G,PINV/6452,03-May-2025,17-Jun-2025,"466,572","466,572",0,Net 45,31-60 days,13,Priya Nair,priya@sunrise.com
V002,Sunrise Enterprises,29AACCS5678G1Z3,AACCS5678G,PINV/6623,25-Mar-2025,09-May-2025,"455,982","227,991","227,991",Net 45,61-90 days,52,Priya Nair,priya@sunrise.com
V011,Tech Solutions,29AABCT3456P1Z2,AABCT3456P,PINV/8159,01-May-2025,31-May-2025,"119,540",0,"119,540",Net 30,31-60 days,30,Arjun Das,arjun@techsol.com
V005,Global Traders,36AABCG7890J1Z9,AABCG7890J,PINV/2436,01-Jun-2025,01-Jul-2025,"53,678","53,678",0,Net 30,Current (0-30),0,Deepa Reddy,deepa@globaltr.com
V015,Gupta Brothers,27AABCG1234T1Z0,AABCG1234T,PINV/4082,31-May-2025,30-Jun-2025,"290,691",0,"290,691",Net 30,Current (0-30),0,Ramesh Gupta,ramesh@guptabr.com
V014,National Agencies,24AABCN6789S1Z8,AABCN6789S,PINV/6134,24-Mar-2025,08-May-2025,"292,689",0,"292,689",Net 45,61-90 days,53,Kavita Rao,kavita@natlag.com
V005,Global Traders,36AABCG7890J1Z9,AABCG7890J,PINV/2013,12-Feb-2025,14-Mar-2025,"103,030","51,515","51,515",Net 30,Above 120 days,108,Deepa Reddy,deepa@globaltr.com
V007,Patel Industries,24AABCP6789L1Z4,AABCP6789L,PINV/6237,28-Mar-2025,27-Apr-2025,"400,784",0,"400,784",Net 30,91-120 days,64,Nitin Patel,nitin@patelinds.com
V009,Raj Distributors,33AABCR5678N1Z8,AABCR5678N,PINV/4639,02-Jun-2025,02-Jul-2025,"203,703","203,703",0,Net 30,Current (0-30),0,Rajesh Kumar,rajesh@rajdist.com
V014,National Agencies,24AABCN6789S1Z8,AABCN6789S,PINV/8546,10-Apr-2025,25-May-2025,"80,903",0,"80,903",Net 45,61-90 days,36,Kavita Rao,kavita@natlag.com
V014,National Agencies,24AABCN6789S1Z8,AABCN6789S,PINV/4586,22-Feb-2025,08-Apr-2025,"343,191",0,"343,191",Net 45,91-120 days,83,Kavita Rao,kavita@natlag.com
V010,New India Corp,07AABCN9012O1Z0,AABCN9012O,PINV/5643,23-May-2025,07-Jul-2025,"376,059",0,"376,059",Net 45,Current (0-30),0,Sunita Verma,sunita@newinda.com
V010,New India Corp,07AABCN9012O1Z0,AABCN9012O,PINV/6245,11-Apr-2025,26-May-2025,"256,165",0,"256,165",Net 45,61-90 days,35,Sunita Verma,sunita@newinda.com
V005,Global Traders,36AABCG7890J1Z9,AABCG7890J,PINV/8836,05-May-2025,04-Jun-2025,"252,563","126,282","126,281",Net 30,31-60 days,26,Deepa Reddy,deepa@globaltr.com
V001,Mehta Trading Co,27AABCM1234F1Z5,AABCM1234F,PINV/6458,21-May-2025,20-Jun-2025,"415,664",0,"415,664",Net 30,31-60 days,10,Rahul Mehta,rahul@mehtatrading.com
V014,National Agencies,24AABCN6789S1Z8,AABCN6789S,PINV/4687,16-Jun-2025,31-Jul-2025,"462,347",0,"462,347",Net 45,Current (0-30),0,Kavita Rao,kavita@natlag.com
V014,National Agencies,24AABCN6789S1Z8,AABCN6789S,PINV/8987,21-Mar-2025,05-May-2025,"156,560",0,"156,560",Net 45,61-90 days,56,Kavita Rao,kavita@natlag.com
V001,Mehta Trading Co,27AABCM1234F1Z5,AABCM1234F,PINV/9977,21-Mar-2025,20-Apr-2025,"175,331","87,666","87,665",Net 30,91-120 days,71,Rahul Mehta,rahul@mehtatrading.com
V006,Kumar & Sons,09AABCK2345K1Z2,AABCK2345K,PINV/7412,21-Mar-2025,05-May-2025,"45,193",0,"45,193",Net 45,61-90 days,56,Vijay Kumar,vijay@kumarsons.com
V005,Global Traders,36AABCG7890J1Z9,AABCG7890J,PINV/4196,09-Feb-2025,11-Mar-2025,"202,949",0,"202,949",Net 30,Above 120 days,111,Deepa Reddy,deepa@globaltr.com
V006,Kumar & Sons,09AABCK2345K1Z2,AABCK2345K,PINV/1886,13-Apr-2025,28-May-2025,"234,191",0,"234,191",Net 45,61-90 days,33,Vijay Kumar,vijay@kumarsons.com
V010,New India Corp,07AABCN9012O1Z0,AABCN9012O,PINV/3253,08-Mar-2025,22-Apr-2025,"351,018",0,"351,018",Net 45,91-120 days,69,Sunita Verma,sunita@newinda.com
V015,Gupta Brothers,27AABCG1234T1Z0,AABCG1234T,PINV/3372,07-May-2025,06-Jun-2025,"116,887",0,"116,887",Net 30,31-60 days,24,Ramesh Gupta,ramesh@guptabr.com
V012,Om Traders,36AABCO7890Q1Z4,AABCO7890Q,PINV/1149,29-Mar-2025,28-May-2025,"365,719","365,719",0,Net 60,61-90 days,33,Rekha Joshi,rekha@omtraders.com
V002,Sunrise Enterprises,29AACCS5678G1Z3,AACCS5678G,PINV/3418,25-Mar-2025,09-May-2025,"475,695","237,848","237,847",Net 45,61-90 days,52,Priya Nair,priya@sunrise.com
V011,Tech Solutions,29AABCT3456P1Z2,AABCT3456P,PINV/3756,15-Jun-2025,15-Jul-2025,"57,063","28,532","28,531",Net 30,Current (0-30),0,Arjun Das,arjun@techsol.com
V003,Bharat Stationery,07AABCB9012H1Z1,AABCB9012H,PINV/1859,30-May-2025,29-Jun-2025,"490,336",0,"490,336",Net 30,31-60 days,1,Amit Sharma,amit@bharatstat.com
V010,New India Corp,07AABCN9012O1Z0,AABCN9012O,PINV/8107,22-May-2025,06-Jul-2025,"317,217","158,608","158,609",Net 45,Current (0-30),0,Sunita Verma,sunita@newinda.com
V004,Anand Electricals,33AABCA3456I1Z7,AABCA3456I,PINV/1556,30-May-2025,29-Jul-2025,"128,019","64,010","64,009",Net 60,Current (0-30),0,Suresh Anand,suresh@anandele.com
V005,Global Traders,36AABCG7890J1Z9,AABCG7890J,PINV/3826,25-Mar-2025,24-Apr-2025,"390,166",0,"390,166",Net 30,91-120 days,67,Deepa Reddy,deepa@globaltr.com
V013,Laxmi Exports,19AABCL2345R1Z6,AABCL2345R,PINV/8596,24-Mar-2025,23-Apr-2025,"144,856","72,428","72,428",Net 30,91-120 days,68,Mohan Laxmi,mohan@laxmiexp.com
V006,Kumar & Sons,09AABCK2345K1Z2,AABCK2345K,PINV/1190,30-May-2025,14-Jul-2025,"67,148",0,"67,148",Net 45,Current (0-30),0,Vijay Kumar,vijay@kumarsons.com
V008,Singh Logistics,27AABCS1234M1Z6,AABCS1234M,PINV/9351,03-May-2025,02-Jul-2025,"21,283","21,283",0,Net 60,Current (0-30),0,Gurpreet Singh,g.singh@singhlog.com
V010,New India Corp,07AABCN9012O1Z0,AABCN9012O,PINV/8856,20-Apr-2025,04-Jun-2025,"349,926",0,"349,926",Net 45,31-60 days,26,Sunita Verma,sunita@newinda.com
V013,Laxmi Exports,19AABCL2345R1Z6,AABCL2345R,PINV/3967,23-Mar-2025,22-Apr-2025,"247,254","123,627","123,627",Net 30,91-120 days,69,Mohan Laxmi,mohan@laxmiexp.com
V005,Global Traders,36AABCG7890J1Z9,AABCG7890J,PINV/3051,04-Jun-2025,04-Jul-2025,"169,362","169,362",0,Net 30,Current (0-30),0,Deepa Reddy,deepa@globaltr.com
V003,Bharat Stationery,07AABCB9012H1Z1,AABCB9012H,PINV/7640,24-Jun-2025,24-Jul-2025,"202,960","202,960",0,Net 30,Current (0-30),0,Amit Sharma,amit@bharatstat.com
V013,Laxmi Exports,19AABCL2345R1Z6,AABCL2345R,PINV/9684,24-Feb-2025,26-Mar-2025,"41,327","41,327",0,Net 30,Above 120 days,96,Mohan Laxmi,mohan@laxmiexp.com
V009,Raj Distributors,33AABCR5678N1Z8,AABCR5678N,PINV/3033,07-May-2025,06-Jun-2025,"483,184",0,"483,184",Net 30,31-60 days,24,Rajesh Kumar,rajesh@rajdist.com
V003,Bharat Stationery,07AABCB9012H1Z1,AABCB9012H,PINV/3948,28-Jun-2025,28-Jul-2025,"281,814",0,"281,814",Net 30,Current (0-30),0,Amit Sharma,amit@bharatstat.com
V002,Sunrise Enterprises,29AACCS5678G1Z3,AACCS5678G,PINV/1641,28-May-2025,12-Jul-2025,"291,790",0,"291,790",Net 45,Current (0-30),0,Priya Nair,priya@sunrise.com
V002,Sunrise Enterprises,29AACCS5678G1Z3,AACCS5678G,PINV/5206,21-Jun-2025,05-Aug-2025,"51,459",0,"51,459",Net 45,Current (0-30),0,Priya Nair,priya@sunrise.com
V009,Raj Distributors,33AABCR5678N1Z8,AABCR5678N,PINV/5891,28-Mar-2025,27-Apr-2025,"483,475",0,"483,475",Net 30,91-120 days,64,Rajesh Kumar,rajesh@rajdist.com
V007,Patel Industries,24AABCP6789L1Z4,AABCP6789L,PINV/1001,27-Apr-2025,27-May-2025,"157,294","157,294",0,Net 30,61-90 days,34,Nitin Patel,nitin@patelinds.com
V015,Gupta Brothers,27AABCG1234T1Z0,AABCG1234T,PINV/5807,13-Feb-2025,15-Mar-2025,"228,011","228,011",0,Net 30,Above 120 days,107,Ramesh Gupta,ramesh@guptabr.com
V008,Singh Logistics,27AABCS1234M1Z6,AABCS1234M,PINV/6127,16-Feb-2025,17-Apr-2025,"456,284",0,"456,284",Net 60,91-120 days,74,Gurpreet Singh,g.singh@singhlog.com
V010,New India Corp,07AABCN9012O1Z0,AABCN9012O,PINV/9818,19-Feb-2025,05-Apr-2025,"112,821",0,"112,821",Net 45,91-120 days,86,Sunita Verma,sunita@newinda.com
V011,Tech Solutions,29AABCT3456P1Z2,AABCT3456P,PINV/1732,30-Apr-2025,30-May-2025,"28,000",0,"28,000",Net 30,61-90 days,31,Arjun Das,arjun@techsol.com
