Stock Entry Date,Item Code,Item Description,Category,UOM,Opening Qty,Receipts Qty,Issues Qty,Closing Qty,Reorder Level,Unit Cost (INR),Closing Stock Value (INR),Supplier Code,Location,Batch No
16-May-2025,ITM-1028,Traded Item T-02,Trading Goods,NOS,137,196,5,328,95,"3,444","1,129,543",SUP-012,Cold Storage,BT-MAY-698
19-May-2025,ITM-1029,Traded Item T-03,Trading Goods,NOS,143,114,5,252,82,"4,734","1,192,855",SUP-019,Rack B,BT-MAY-447
03-May-2025,ITM-1030,Traded Item T-04,Trading Goods,NOS,239,17,45,211,37,"3,124","659,147",SUP-013,Rack A,BT-MAY-213
30-May-2025,ITM-1031,Import Item IM-01,Trading Goods,NOS,454,171,50,575,61,"1,469","844,572",SUP-003,Rack B,BT-MAY-717
26-May-2025,ITM-1032,Cutting Oil,Consumables,LTR,303,4,159,148,95,"2,095","309,989",SUP-006,Rack B,BT-MAY-971
09-May-2025,ITM-1033,Coolant Fluid,Consumables,LTR,148,131,71,208,86,"4,522","940,651",SUP-001,Cold Storage,BT-MAY-426
29-May-2025,ITM-1034,Lubricant Grease,Consumables,LTR,135,13,61,87,59,"1,323","115,096",SUP-014,Rack B,BT-MAY-141
09-May-2025,ITM-1035,Cleaning Solvent,Consumables,LTR,433,194,168,459,78,"3,300","1,514,911",SUP-011,Dispatch Bay,BT-MAY-132
05-May-2025,ITM-1036,Rust Preventive,Consumables,LTR,496,159,2,653,93,106,"69,133",SUP-013,Rack A,BT-MAY-581
13-May-2025,ITM-1037,Bearing SKF 6205,Spare Parts,NOS,248,9,177,80,54,"3,487","278,985",SUP-011,Rack B,BT-MAY-922
17-May-2025,ITM-1038,V-Belt A-45,Spare Parts,NOS,487,200,108,579,72,"3,539","2,049,272",SUP-005,Rack B,BT-MAY-836
09-May-2025,ITM-1039,Filter Element FE-10,Spare Parts,NOS,332,49,125,256,56,"1,341","343,219",SUP-015,QC Hold,BT-MAY-186
26-May-2025,ITM-1040,Gasket Set GS-01,Spare Parts,NOS,391,81,130,342,34,125,"42,685",SUP-005,Floor Store,BT-MAY-880
04-May-2025,ITM-1041,Seal Kit SK-02,Spare Parts,NOS,174,19,45,148,67,334,"49,454",SUP-019,Floor Store,BT-MAY-342
25-May-2025,ITM-1001,Steel Rod 10mm,Raw Material,KG,94,19,1,112,21,"3,685","412,737",SUP-011,Floor Store,BT-MAY-732
03-May-2025,ITM-1002,Aluminum Sheet 2mm,Raw Material,KG,129,149,160,118,78,"3,159","372,727",SUP-011,Floor Store,BT-MAY-780
04-May-2025,ITM-1003,Copper Wire 1.5mm,Raw Material,KG,363,31,14,380,37,"1,006","382,132",SUP-003,Rack A,BT-MAY-193
23-May-2025,ITM-1004,PVC Granules,Raw Material,KG,96,0,55,41,49,"1,059","43,419",SUP-003,Cold Storage,BT-MAY-428
21-May-2025,ITM-1005,PP Granules,Raw Material,KG,321,49,121,249,45,"3,544","882,483",SUP-016,Dispatch Bay,BT-MAY-823
06-May-2025,ITM-1006,HDPE Resin,Raw Material,KG,290,73,187,176,95,"4,326","761,445",SUP-002,Cold Storage,BT-MAY-289
17-May-2025,ITM-1007,Cotton Yarn,Raw Material,KG,53,20,22,51,45,"1,324","67,508",SUP-018,Dispatch Bay,BT-MAY-293
23-May-2025,ITM-1008,Corrugated Box L,Packing Material,NOS,113,179,194,98,29,949,"93,013",SUP-011,Floor Store,BT-MAY-333
06-May-2025,ITM-1009,Bubble Wrap Roll,Packing Material,NOS,252,162,151,263,57,"3,012","792,090",SUP-017,QC Hold,BT-MAY-392
07-May-2025,ITM-1010,Shrink Film 200m,Packing Material,NOS,268,64,88,244,50,"2,657","648,418",SUP-009,Rack B,BT-MAY-872
06-May-2025,ITM-1011,Packing Tape,Packing Material,NOS,83,15,8,90,83,"1,728","155,490",SUP-002,Dispatch Bay,BT-MAY-873
27-May-2025,ITM-1012,Foam Sheet,Packing Material,NOS,270,20,172,118,77,70,"8,245",SUP-003,Rack B,BT-MAY-702
25-May-2025,ITM-1013,Wooden Pallet,Packing Material,NOS,235,178,174,239,97,"3,394","811,214",SUP-003,Dispatch Bay,BT-MAY-368
24-May-2025,ITM-1014,Stretch Wrap,Packing Material,NOS,479,81,115,445,65,"3,714","1,652,525",SUP-016,Rack B,BT-MAY-611
10-May-2025,ITM-1015,Product A-101,Finished Goods,NOS,440,125,80,485,89,"4,996","2,422,818",SUP-007,Rack A,BT-MAY-701
06-May-2025,ITM-1016,Product B-202,Finished Goods,NOS,71,176,90,157,72,"2,330","365,821",SUP-015,Rack B,BT-MAY-915
28-May-2025,ITM-1017,Product C-303,Finished Goods,NOS,256,118,118,256,77,772,"197,606",SUP-013,Cold Storage,BT-MAY-125
28-May-2025,ITM-1018,Product D-404,Finished Goods,NOS,121,81,97,105,100,755,"79,320",SUP-012,Main Warehouse,BT-MAY-544
26-May-2025,ITM-1019,Product E-505,Finished Goods,NOS,468,169,44,593,39,"2,969","1,760,475",SUP-006,Rack A,BT-MAY-197
01-May-2025,ITM-1020,Assembly X1,Finished Goods,NOS,250,120,38,332,54,"1,693","562,142",SUP-001,Cold Storage,BT-MAY-501
06-May-2025,ITM-1021,Assembly Y2,Finished Goods,NOS,205,140,71,274,49,958,"262,445",SUP-020,QC Hold,BT-MAY-611
14-May-2025,ITM-1022,Sub-Assembly SA-01,Semi-Finished,NOS,272,40,124,188,27,"1,773","333,382",SUP-004,Main Warehouse,BT-MAY-431
23-May-2025,ITM-1023,Sub-Assembly SA-02,Semi-Finished,NOS,294,155,74,375,38,"1,183","443,779",SUP-016,Floor Store,BT-MAY-321
14-May-2025,ITM-1024,WIP Component W1,Semi-Finished,NOS,301,3,78,226,100,801,"181,123",SUP-010,QC Hold,BT-MAY-733
14-May-2025,ITM-1025,WIP Component W2,Semi-Finished,NOS,363,31,153,241,36,"2,653","639,346",SUP-011,QC Hold,BT-MAY-482
26-May-2025,ITM-1026,Intermediate I-01,Semi-Finished,NOS,402,32,94,340,92,"4,852","1,649,833",SUP-003,Main Warehouse,BT-MAY-557
12-May-2025,ITM-1027,Traded Item T-01,Trading Goods,NOS,263,63,53,273,61,"3,445","940,357",SUP-011,QC Hold,BT-MAY-587
26-May-2025,ITM-1028,Traded Item T-02,Trading Goods,NOS,193,142,87,248,93,"3,971","984,845",SUP-007,Rack A,BT-MAY-429
26-May-2025,ITM-1029,Traded Item T-03,Trading Goods,NOS,373,146,58,461,95,"3,051","1,406,437",SUP-008,Cold Storage,BT-MAY-676
16-May-2025,ITM-1030,Traded Item T-04,Trading Goods,NOS,59,80,24,115,69,"3,753","431,648",SUP-020,Rack B,BT-MAY-183
17-May-2025,ITM-1031,Import Item IM-01,Trading Goods,NOS,301,118,154,265,54,344,"91,149",SUP-013,Floor Store,BT-MAY-297
26-May-2025,ITM-1032,Cutting Oil,Consumables,LTR,444,70,182,332,38,"1,825","605,990",SUP-002,Cold Storage,BT-MAY-352
08-May-2025,ITM-1033,Coolant Fluid,Consumables,LTR,374,0,83,291,65,"4,126","1,200,649",SUP-016,Dispatch Bay,BT-MAY-249
26-May-2025,ITM-1034,Lubricant Grease,Consumables,LTR,189,81,124,146,60,"3,028","442,060",SUP-018,Rack A,BT-MAY-943
26-May-2025,ITM-1035,Cleaning Solvent,Consumables,LTR,380,48,152,276,97,611,"168,528",SUP-002,QC Hold,BT-MAY-299
17-May-2025,ITM-1036,Rust Preventive,Consumables,LTR,459,129,72,516,51,"3,956","2,041,110",SUP-014,QC Hold,BT-MAY-938
28-May-2025,ITM-1037,Bearing SKF 6205,Spare Parts,NOS,55,76,33,98,46,729,"71,428",SUP-001,Main Warehouse,BT-MAY-767
21-May-2025,ITM-1038,V-Belt A-45,Spare Parts,NOS,440,107,20,527,67,"2,330","1,227,936",SUP-005,Cold Storage,BT-MAY-740
13-May-2025,ITM-1039,Filter Element FE-10,Spare Parts,NOS,334,40,152,222,76,"3,795","842,428",SUP-004,Rack B,BT-MAY-566
09-May-2025,ITM-1040,Gasket Set GS-01,Spare Parts,NOS,151,180,155,176,78,"1,431","251,851",SUP-019,Rack A,BT-MAY-430
01-May-2025,ITM-1041,Seal Kit SK-02,Spare Parts,NOS,113,13,111,15,61,"2,767","41,510",SUP-012,Rack A,BT-MAY-422
27-May-2025,ITM-1001,Steel Rod 10mm,Raw Material,KG,418,96,140,374,23,"3,148","1,177,412",SUP-011,Cold Storage,BT-MAY-282
11-May-2025,ITM-1002,Aluminum Sheet 2mm,Raw Material,KG,363,194,8,549,56,"1,627","893,130",SUP-019,Main Warehouse,BT-MAY-623
02-May-2025,ITM-1003,Copper Wire 1.5mm,Raw Material,KG,420,183,182,421,36,"2,488","1,047,625",SUP-003,Rack A,BT-MAY-255
04-May-2025,ITM-1004,PVC Granules,Raw Material,KG,317,41,182,176,50,468,"82,435",SUP-012,Rack B,BT-MAY-446
03-May-2025,ITM-1005,PP Granules,Raw Material,KG,261,87,192,156,28,"2,467","384,907",SUP-018,Main Warehouse,BT-MAY-637
14-May-2025,ITM-1006,HDPE Resin,Raw Material,KG,378,101,177,302,39,"2,745","828,993",SUP-003,Floor Store,BT-MAY-312
15-May-2025,ITM-1007,Cotton Yarn,Raw Material,KG,131,29,66,94,49,"1,204","113,169",SUP-018,Main Warehouse,BT-MAY-153
21-May-2025,ITM-1008,Corrugated Box L,Packing Material,NOS,481,178,57,602,81,222,"133,373",SUP-008,Floor Store,BT-MAY-338
05-May-2025,ITM-1009,Bubble Wrap Roll,Packing Material,NOS,495,35,128,402,60,"1,622","651,851",SUP-013,Main Warehouse,BT-MAY-622
25-May-2025,ITM-1010,Shrink Film 200m,Packing Material,NOS,198,126,6,318,73,"2,755","875,982",SUP-002,Rack A,BT-MAY-703
02-May-2025,ITM-1011,Packing Tape,Packing Material,NOS,156,58,149,65,82,46,"2,970",SUP-003,Dispatch Bay,BT-MAY-476
17-May-2025,ITM-1012,Foam Sheet,Packing Material,NOS,474,42,101,415,47,770,"319,450",SUP-001,QC Hold,BT-MAY-862
20-May-2025,ITM-1013,Wooden Pallet,Packing Material,NOS,194,68,142,120,67,"2,559","307,115",SUP-006,Floor Store,BT-MAY-306
25-May-2025,ITM-1014,Stretch Wrap,Packing Material,NOS,361,65,85,341,45,"1,642","559,929",SUP-009,Cold Storage,BT-MAY-222
21-May-2025,ITM-1015,Product A-101,Finished Goods,NOS,196,115,7,304,77,"3,021","918,326",SUP-017,Floor Store,BT-MAY-515
07-May-2025,ITM-1016,Product B-202,Finished Goods,NOS,144,28,10,162,69,"4,025","652,071",SUP-007,Rack A,BT-MAY-877
19-May-2025,ITM-1017,Product C-303,Finished Goods,NOS,426,191,76,541,47,"4,434","2,399,005",SUP-010,Rack B,BT-MAY-574
02-May-2025,ITM-1018,Product D-404,Finished Goods,NOS,381,160,58,483,92,"4,452","2,150,379",SUP-009,Rack A,BT-MAY-623
